bug_submission,bug_comment,review_submission,review_comment,forum_thread,committer
41,142,1205,1218,23,2
3,1,2,0,0,0
7,12,58,20,0,0
50,24,22,10,0,3
14,50,190,118,0,1
2,6,25,1,0,0
1,0,2,0,0,0
3,0,2,1,0,0
1,0,1,0,0,0
196,43,950,828,1,3
74,149,87,5,219,3
277,159,43,19,69,11
217,1414,324,397,1,13
0,0,1,0,0,0
0,2,1,0,0,0
0,2,2,0,0,0
1,2,7,0,0,1
0,0,1,0,0,0
24,31,80,15,0,1
401,620,395,140,231,12
17,13,29,0,4,2
12,7,1,0,0,0
205,193,408,386,21,1
7,3,3,0,0,0
1,0,1,0,0,0
112,23,30,17,4,2
14,3,9,0,0,0
106,70,30,9,76,1
17,26,11,1,0,1
4,0,3,0,0,0
1,0,2,0,0,0
1077,2871,19,18,2027,7
1,3,23,4,0,0
523,667,89,24,154,14
6,2,5,1,0,0
678,829,15,1,566,8
0,0,2,0,0,0
6,6,92,6,0,0
11,8,10,0,0,0
1,2,1,0,0,0
2,0,1,0,0,1
46,91,106,110,4,2
0,0,3,2,0,0
1,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
29,4,9,0,0,0
46,203,15,0,230,3
0,0,2,1,0,0
18,17,13,10,0,0
0,0,3,0,0,0
0,0,1,2,0,0
23,1,257,1812,0,1
26,3,46,9,2,1
16,2,3,0,0,0
0,2,3,0,0,0
0,0,57,0,0,0
119,233,47,5,6,5
1,1,1,1,0,0
3,1,13,0,0,0
1,0,1,0,0,0
0,0,71,167,0,0
4,1,51,344,0,0
0,0,36,0,0,0
0,0,12,35,0,0
0,0,10,3,0,0
0,0,1,2,0,0
33,10,5,7,0,1
711,975,509,146,0,8
5,0,1,0,0,0
191,245,130,53,10,2
0,0,1,0,0,0
0,0,1,1,0,0
73,17,4,1,0,1
1,0,1,0,0,0
12,5,24,44,0,1
19,8,31,14,2,1
0,0,5,0,0,0
1,0,1,0,0,0
6,3,9,2,0,0
4,0,2,0,0,0
15,104,1,0,0,2
651,844,513,270,0,2
17,8,0,1,0,0
0,1,1,0,0,0
1,2,1,0,0,0
962,95,747,140,0,0
3,0,1,0,0,0
0,0,3,5,0,0
4,2,1,0,0,0
45,33,1,0,0,0
38,122,37,14,0,0
92,17,90,11,2,2
6,6,1,0,4,1
1,0,11,0,0,0
0,2,0,2,0,0
15,11,0,1,0,0
18,10,15,1,0,0
1,0,1,0,0,1
0,0,5,1,0,1
4,0,2,6,0,1
0,0,0,1,0,1
124,194,0,3,206,4
1,0,1,0,0,0
1,0,2,0,0,0
252,122,1,1,9,3
36,14,105,22,0,1
12,2,18,0,0,0
27,10,2,0,0,0
0,0,1,0,0,0
3,1,4,1,0,0
1,1,0,2,0,1
1,0,0,2,0,0
37,10,18,0,0,0
391,298,46,33,0,5
0,0,1,0,0,0
0,0,1,0,0,0
68,39,5,8,166,1
43,9,18,0,0,0
0,0,0,10,0,1
10,2,4,0,0,0
29,18,1,0,0,0
0,1,4,0,0,0
0,0,194,54,3,3
5,0,4,0,0,0
711,363,41,9,95,4
5,0,2,0,0,0
3,2,8,0,0,0
30,12,1,0,0,0
19,38,6,0,16,2
1,3,0,1,0,1
252,89,2,3,0,0
5,0,59,4,2,1
5,9,4,5,0,0
0,0,3,1,0,1
5,2,1,0,0,0
2,0,1,0,0,0
255,194,1,0,0,2
4077,3982,3521,2530,565,8
1,0,1,0,0,0
2,0,8,0,0,0
1,1,15,39,0,1
1,0,2,0,0,0
1,0,2,1,0,0
604,3514,60,102,97,8
12,4,16,1,0,1
13,1,4,0,0,0
2473,5130,23,53,59,15
140,46,138,1,0,2
68,176,166,92,43,1
1,0,2,0,0,0
4,0,3,0,0,0
2,3,9,1,0,0
0,0,4,0,0,0
11,0,10,2,0,0
3,0,5,0,0,0
0,0,19,0,0,0
0,0,2,0,0,0
1,0,0,1,0,0
38,0,2,0,0,1
20,13,3,2,0,1
42,12,23,6,0,2
29,79,1,0,0,0
0,2,1,0,0,0
11,6,9,41,0,3
4,1,9,0,0,0
2,1,4,0,0,0
0,1,1,1,0,0
6,0,10,0,0,0
2,0,1,0,0,0
214,329,11,8,101,4
40,44,7,0,111,1
0,3,5,0,1,1
34,12,19,11,0,1
33,10,46,7,0,1
335,589,87,72,0,4
1,0,1,1,0,0
0,2,0,1,0,0
1,0,1,0,0,0
104,50,2,0,6,1
494,1828,2,5,22,12
35,28,58,10,0,3
2,1,14,1,0,0
0,1,2,0,0,0
1,1,0,1,0,0
0,0,2,0,0,0
3,1,1,1,0,0
4,3,15,0,0,0
2,5,3,0,0,0
0,0,2,0,0,0
1,2,5,4,0,0
3,1,7,4,0,0
0,0,2,0,0,0
3,1,3,1,0,0
0,1,1,0,0,0
107,271,286,87,96,1
43,7,2,2,0,1
0,0,0,1,0,0
18,4,16,0,7,1
120,149,327,58,50,1
1,0,5,1,0,0
0,0,1,0,0,0
0,1,43,0,0,0
43,10,45,10,0,0
0,1,31,0,0,0
98,167,290,338,123,1
8,13,17,3,0,0
135,264,510,384,63,2
1,0,0,4,0,0
152,95,104,303,120,1
18,4,17,77,2,1
31,15,2,1,0,0
0,0,1,0,0,0
28,4,6,0,0,0
55,186,72,57,0,2
3,2,15,0,0,0
0,0,13,7,0,1
21,17,47,8,6,1
6,1,3,0,0,0
1,0,1,0,0,0
107,38,84,5,2,1
14,4,46,152,26,1
5349,8416,301,172,541,16
2,0,2,0,0,0
2,2,0,1,0,0
4,2,8,1,0,0
45,7,330,165,79,1
0,0,6,0,0,0
3,1,1,0,0,0
0,0,2,0,0,0
1,2,0,1,0,0
0,0,4,0,0,0
0,1,1,0,0,0
0,0,0,1,0,1
2,1,3,1,0,0
864,2559,1388,663,58,10
5,0,4,0,0,0
1228,2051,509,189,143,9
3,4,7,0,0,0
0,0,46,0,0,0
0,0,1,0,0,0
0,0,0,3,0,0
6,3,55,6,0,0
6,5,2,16,0,0
101,131,11,0,0,0
0,0,1,0,0,0
8,0,21,7,0,0
2,3,3,0,0,0
0,0,6,0,0,0
2,0,1,0,0,0
1,0,36,13,0,0
0,0,1,0,0,0
38,12,4,0,0,0
1,0,1,0,0,0
38,56,165,33,0,4
4,4,1,0,0,0
0,1,0,66,0,1
1385,5124,464,323,365,16
1,0,13,0,0,0
1,3,2,0,0,0
15,4,4,0,14,1
11,5,0,1,0,0
105,61,110,39,0,1
2,0,2,0,0,1
1,0,15,3,0,2
3,0,1,0,0,0
14,8,89,79,6,2
1,0,2,0,0,0
2,5,12,0,0,0
1,0,1,0,0,0
264,631,5,3,303,3
1,0,1,0,0,0
2,0,1,0,0,0
2,8,7,4,0,0
16,0,249,0,0,1
1,0,2,0,0,0
67,37,279,83,4,2
8,2,6,0,0,0
12,4,4,0,0,0
44,4,6,0,0,0
1,4,7,0,0,0
0,1,1,0,0,0
27,20,45,7,0,1
4,2,7,0,0,0
1,0,1,0,0,0
19,2,4,0,0,0
16,1,8,0,0,0
9,2,8,3,0,0
1,2,1,0,0,0
15,7,1,2,0,0
291,1662,287,93,0,2
0,1,18,0,0,0
87,76,19,25,3,1
1061,5159,170,183,16256,21
3,1,1,0,0,0
65,2,15,0,0,0
1,0,39,18,0,0
53,14,189,3,0,1
0,0,45,2,0,0
132,65,208,25,1,3
0,0,14,21,0,0
21,11,55,10,1,1
1,0,7,0,0,0
16,12,66,1,0,1
1,0,1,0,0,0
2,1,3,0,0,0
1,1,1,0,0,0
11,35,230,147,3,1
89,232,2,1,60,2
17,8,73,20,2,1
14,0,14,0,0,0
1,1,1,0,0,0
11,10,51,23,0,1
69,12,1,0,0,0
780,3404,343,176,516,7
5,8,16,0,0,0
0,0,1,0,0,0
8,0,13,0,0,0
2,1,4,2,0,0
0,1,1,0,0,0
2,0,1,0,0,0
8,5,0,1,0,0
26,9,4,0,12,3
91,137,43,93,22,2
1,0,8,0,0,2
0,0,1,0,0,0
14,3,237,20,21,2
1,0,1,0,0,0
2,0,7,1,0,0
1,6,23,0,0,2
2,4,6,0,0,0
61,298,5,44,263,1
19,3,3,0,0,0
6,27,19,178,68,2
2,0,1,0,0,0
27,2,20,0,0,0
1,0,2,0,0,0
19,2,16,2,18,1
36,26,12,1,0,1
3,0,1,0,0,0
1,0,1,0,0,0
4,0,1,0,0,0
1121,2671,8,2,656,18
2,3,22,5,0,0
187,95,7,0,192,2
0,1,2,1,0,0
2,0,1,0,0,0
168,384,66,1,110,2
0,0,20,0,0,0
22,14,0,1,7,2
281,160,409,138,0,2
16,13,8,0,5,1
0,1,2,0,0,0
1,0,3,0,0,0
1,0,6,0,0,0
0,0,2,0,0,0
1,1,1,0,0,0
999,1276,811,309,681,15
0,0,1,0,0,0
0,0,4,0,0,0
0,0,9,0,0,0
101,53,6,0,0,0
3,6,3,0,0,0
55,93,40,24,3,1
1,1,0,1,0,0
0,0,3,0,0,0
2,2,12,0,0,0
0,0,14,41,0,0
641,720,5,1,179,1
2,0,4,1,0,0
0,1,3,0,0,1
92,42,28,4,0,0
7,2,9,0,0,0
3,147,15,1,0,2
0,2,4,1,0,0
3718,1629,90,16,3198,7
0,0,1,1,0,0
4,0,2,0,0,0
2,0,2,0,0,0
50,22,6,9,7,1
118,20,79,2,0,0
264,301,15,0,0,2
0,1,2,1,0,0
27,16,94,42,3,1
5,3,6,6,0,0
0,0,1,0,0,0
195,167,12,4,0,0
0,1,1,0,0,0
76,102,11,4,18,2
22,6,2,0,0,0
1,1,2,0,0,0
64,32,0,3,4,4
1,0,1,0,0,0
20,2,4,0,0,0
